round, unique_hits, no_unique_entities, total_hits, total, accuracy, speed_summary, speed_feedback
79,16,168,962,4583,0.09523809523809523,0.09964323043823242,0.0011591911315917969
80,16,168,982,4583,0.09523809523809523,0.10110664367675781,0.0012030601501464844
81,17,168,1031,4583,0.10119047619047619,0.11230063438415527,0.001169443130493164
82,16,168,1012,4583,0.09523809523809523,0.10348200798034668,0.0011606216430664062
83,15,168,934,4583,0.08928571428571429,0.10333967208862305,0.0011589527130126953
84,15,168,933,4583,0.08928571428571429,0.10827302932739258,0.0011906623840332031
85,15,168,930,4583,0.08928571428571429,0.10365104675292969,0.0011632442474365234
86,16,168,981,4583,0.09523809523809523,0.09964489936828613,0.0011551380157470703
87,14,168,920,4583,0.08333333333333333,0.09926009178161621,0.0011568069458007812
88,16,168,1006,4583,0.09523809523809523,0.0992588996887207,0.0011746883392333984
89,18,168,1061,4583,0.10714285714285714,0.09946370124816895,0.0011620521545410156
90,17,168,1000,4583,0.10119047619047619,0.09900665283203125,0.0011644363403320312
91,14,168,956,4583,0.08333333333333333,0.09866809844970703,0.0011606216430664062
92,18,168,1019,4583,0.10714285714285714,0.09939718246459961,0.0011446475982666016
93,16,168,979,4583,0.09523809523809523,0.10141134262084961,0.0011563301086425781
94,16,168,963,4583,0.09523809523809523,0.1018071174621582,0.001157999038696289
95,17,168,1036,4583,0.10119047619047619,0.10557699203491211,0.0011820793151855469
96,16,168,948,4583,0.09523809523809523,0.10205841064453125,0.0011506080627441406
97,17,168,976,4583,0.10119047619047619,0.10220527648925781,0.0011529922485351562
98,16,168,978,4583,0.09523809523809523,0.1020963191986084,0.0011632442474365234
99,15,168,965,4583,0.08928571428571429,0.10062074661254883,0.0011696815490722656
100,15,168,924,4583,0.08928571428571429,0.10114264488220215,0.0011525154113769531
